Datetime,Open,High,Low,Close,Volume
2026-04-21 19:30:00+08:00,98.142,98.163,98.136,98.146,0.0
2026-04-21 20:00:00+08:00,98.151,98.161,98.14,98.146,0.0
2026-04-21 20:30:00+08:00,98.143,98.154,98.138,98.147,0.0
2026-04-21 21:00:00+08:00,98.149,98.15,98.089,98.094,0.0
2026-04-21 21:30:00+08:00,98.096,98.127,98.086,98.124,0.0
2026-04-21 22:00:00+08:00,98.126,98.159,98.107,98.132,0.0
2026-04-21 22:30:00+08:00,98.135,98.157,98.116,98.132,0.0
2026-04-21 23:00:00+08:00,98.138,98.163,98.116,98.142,0.0
2026-04-21 23:30:00+08:00,98.144,98.228,98.139,98.224,0.0
2026-04-22 00:00:00+08:00,98.225,98.309,98.214,98.263,0.0
2026-04-22 00:30:00+08:00,98.263,98.273,98.224,98.248,0.0
2026-04-22 01:00:00+08:00,98.25,98.297,98.244,98.288,0.0
2026-04-22 01:30:00+08:00,98.288,98.293,98.247,98.274,0.0
2026-04-22 02:00:00+08:00,98.275,98.292,98.255,98.28,0.0
2026-04-22 02:30:00+08:00,98.282,98.282,98.253,98.256,0.0
2026-04-22 03:00:00+08:00,98.259,98.291,98.219,98.219,0.0
2026-04-22 03:30:00+08:00,98.216,98.228,98.191,98.194,0.0
2026-04-22 04:00:00+08:00,98.198,98.243,98.187,98.229,0.0
2026-04-22 04:30:00+08:00,98.232,98.298,98.228,98.257,0.0
2026-04-22 05:00:00+08:00,98.259,98.263,98.195,98.196,0.0
2026-04-22 05:30:00+08:00,98.196,98.207,98.162,98.198,0.0
2026-04-22 06:00:00+08:00,98.195,98.21,98.162,98.199,0.0
2026-04-22 06:30:00+08:00,98.202,98.314,98.123,98.309,0.0
2026-04-22 07:00:00+08:00,98.314,98.348,98.249,98.346,0.0
2026-04-22 07:30:00+08:00,98.349,98.39,98.312,98.316,0.0
2026-04-22 08:00:00+08:00,98.32,98.368,98.292,98.365,0.0
2026-04-22 08:30:00+08:00,98.366,98.41,98.346,98.403,0.0
2026-04-22 09:00:00+08:00,98.405,98.567,98.399,98.476,0.0
2026-04-22 09:30:00+08:00,98.48,98.48,98.242,98.374,0.0
2026-04-22 10:00:00+08:00,98.374,98.494,98.348,98.474,0.0
2026-04-22 10:30:00+08:00,98.476,98.476,98.381,98.393,0.0
2026-04-22 11:00:00+08:00,98.396,98.396,98.312,98.32,0.0
2026-04-22 11:30:00+08:00,98.318,98.567,98.318,98.535,0.0
2026-04-22 12:00:00+08:00,98.533,98.549,98.311,98.343,0.0
2026-04-22 12:30:00+08:00,98.345,98.405,98.336,98.383,0.0
2026-04-22 13:00:00+08:00,98.386,98.44,98.347,98.437,0.0
2026-04-22 13:30:00+08:00,98.435,98.438,98.38,98.411,0.0
2026-04-22 14:00:00+08:00,98.408,98.413,98.388,98.407,0.0
2026-04-22 15:30:00+08:00,98.402,98.402,98.373,98.376,0.0
2026-04-22 16:00:00+08:00,98.378,98.378,98.31,98.343,0.0
2026-04-22 16:30:00+08:00,98.344,98.367,98.313,98.363,0.0
2026-04-22 17:00:00+08:00,98.364,98.403,98.334,98.382,0.0
2026-04-22 17:30:00+08:00,98.386,98.386,98.34,98.354,0.0
2026-04-22 18:00:00+08:00,98.356,98.356,98.328,98.341,0.0
2026-04-22 18:30:00+08:00,98.341,98.397,98.338,98.389,0.0
2026-04-22 19:00:00+08:00,98.391,98.405,98.371,98.383,0.0
2026-04-22 19:30:00+08:00,98.387,98.407,98.373,98.402,0.0
2026-04-22 20:00:00+08:00,98.407,98.407,98.381,98.383,0.0
2026-04-22 20:30:00+08:00,98.385,98.401,98.368,98.391,0.0
2026-04-22 21:00:00+08:00,98.392,98.396,98.211,98.249,0.0
2026-04-22 21:30:00+08:00,98.248,98.303,98.243,98.296,0.0
2026-04-22 22:00:00+08:00,98.294,98.344,98.28,98.282,0.0
2026-04-22 22:30:00+08:00,98.281,98.317,98.268,98.304,0.0
2026-04-22 23:00:00+08:00,98.31,98.34,98.285,98.318,0.0
2026-04-22 23:30:00+08:00,98.318,98.331,98.264,98.272,0.0
2026-04-23 00:00:00+08:00,98.274,98.307,98.244,98.292,0.0
2026-04-23 00:30:00+08:00,98.291,98.332,98.278,98.287,0.0
2026-04-23 01:00:00+08:00,98.289,98.303,98.258,98.294,0.0
2026-04-23 01:30:00+08:00,98.298,98.34,98.281,98.333,0.0
2026-04-23 02:00:00+08:00,98.332,98.364,98.313,98.322,0.0
2026-04-23 02:30:00+08:00,98.327,98.33,98.291,98.3,0.0
2026-04-23 03:00:00+08:00,98.301,98.37,98.301,98.359,0.0
2026-04-23 03:30:00+08:00,98.364,98.443,98.348,98.419,0.0
2026-04-23 04:00:00+08:00,98.422,98.466,98.396,98.465,0.0
2026-04-23 04:30:00+08:00,98.465,98.498,98.461,98.485,0.0
2026-04-23 05:00:00+08:00,98.485,98.501,98.39,98.435,0.0
2026-04-23 05:30:00+08:00,98.437,98.461,98.339,98.364,0.0
2026-04-23 06:00:00+08:00,98.366,98.407,98.347,98.394,0.0
2026-04-23 06:30:00+08:00,98.397,98.527,98.39,98.524,0.0
2026-04-23 07:00:00+08:00,98.527,98.551,98.494,98.495,0.0
2026-04-23 07:30:00+08:00,98.496,98.567,98.49,98.56,0.0
2026-04-23 08:00:00+08:00,98.562,98.588,98.542,98.568,0.0
